Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,13.961600,14.111100,13.721400,13.780300,9.443418,9820246
2012-06-19,13.775800,14.052200,13.599100,14.016000,9.604940,7905746
2012-06-20,14.124700,14.401200,14.052200,14.342300,9.828548,11088641
2012-06-21,14.315100,14.464600,14.174600,14.256200,9.769543,11920173
2012-06-22,14.138300,14.519000,14.056800,14.374000,9.850270,9339931
2012-06-25,14.265200,14.265200,13.857400,13.929900,9.545937,8981086
2012-06-26,14.174600,14.455500,14.124700,14.387600,9.859591,11907133
2012-06-27,14.550700,15.008400,14.464600,14.999300,10.278779,15395946
2012-06-28,15.026500,15.076400,14.654900,15.017500,10.291250,11906172
2012-06-29,15.361800,15.407200,15.040100,15.407200,10.558306,15361054
2012-07-02,15.370900,15.674500,15.284800,15.611100,10.698036,8296005
2012-07-03,15.579400,16.200199,15.384500,15.574800,10.673160,18318869
2012-07-04,15.135300,15.380000,15.022000,15.330100,10.505471,12088873
2012-07-05,15.307500,15.642800,15.130700,15.298400,10.483747,11188679
2012-07-06,15.225900,15.570300,15.225900,15.262200,10.458941,9701856
2012-07-09,15.275700,15.447900,15.189600,15.330100,10.505471,9056809
2012-07-10,15.384500,15.665500,15.221400,15.552200,10.657672,6579651
2012-07-11,15.552200,16.005301,15.502300,15.878400,10.881212,9225292
2012-07-12,15.769700,15.842200,15.484200,15.647300,10.722843,9154482
2012-07-13,15.660900,16.023399,15.511400,15.991700,10.958855,7517927
2012-07-16,15.919200,16.136700,15.869400,16.077801,11.017858,6912425
2012-07-17,16.109501,16.268101,16.055201,16.150299,11.067541,6456810
2012-07-18,16.173000,16.286301,15.932800,16.272699,11.151419,5541796
2012-07-19,16.254601,16.268101,15.946400,16.082399,11.021010,11073028
2012-07-20,16.068800,16.068800,15.370900,15.443400,10.583115,17518984
2012-07-23,15.230400,15.316500,14.877000,15.012900,10.288099,12440689
2012-07-24,15.012900,15.026500,14.682100,14.709300,10.080047,7309124
2012-07-25,14.600600,14.954000,14.600600,14.722900,10.089367,6528846
2012-07-26,14.745600,15.515900,14.559800,15.466100,10.598669,13995316
2012-07-27,15.511400,15.765200,15.121700,15.710800,10.766359,7934684
2012-07-30,15.815000,15.901100,15.688100,15.833100,10.850168,6333195
2012-07-31,15.869400,15.928300,15.583900,15.724400,10.775678,6455134
2012-08-01,15.647300,15.828600,15.588400,15.674500,10.741483,4804546
2012-08-02,15.728900,15.987200,15.248600,15.271200,10.465108,10798342
2012-08-03,15.271200,15.964500,15.235000,15.932800,10.918491,10207502
2012-08-06,15.878400,16.041599,15.715300,15.960000,10.937131,7262784
2012-08-07,15.905600,16.431299,15.828600,16.272699,11.151419,11439471
2012-08-08,16.259100,16.349701,16.064199,16.254601,11.139015,6665552
2012-08-09,16.304399,16.308901,15.937300,16.182100,11.089333,9147258
2012-08-10,16.041599,16.204700,15.946400,16.136700,11.058220,5790691
2012-08-13,16.268101,16.540001,15.937300,15.991700,10.958855,7809016
2012-08-14,16.023399,16.159401,15.747000,16.150299,11.067541,6166558
2012-08-15,16.141300,16.404100,16.114100,16.268101,11.148268,6117179
2012-08-16,16.318001,16.585400,16.173000,16.567200,11.353236,7795638
2012-08-17,16.589899,16.648800,16.440300,16.544600,11.337747,9777309
2012-08-20,16.540001,16.703199,16.286301,16.449400,11.272510,6603607
2012-08-21,16.494699,16.635201,16.431299,16.526400,11.325275,4809486
2012-08-22,16.467501,16.508301,16.336100,16.458500,11.278744,4947538
2012-08-23,16.558201,16.612499,16.046101,16.191099,11.095499,8242908
